Question,Answer
What is the main function of the item 'Frozen Mallet'?," ""Slows enemies on hit"""
Which champion can heal allies and themselves with the ability 'Wish'?," ""Soraka"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion has the ability 'Shroud of Darkness'?," ""Nocturne"""
What is the effect of the 'Baron Nashor' buff?," ""Enhances nearby minions and grants bonus attack damage and ability power"""
Which champion's ultimate ability is 'Ace in the Hole'?," ""Caitlyn"""
What is the name of the item that grants bonus armor and health regeneration?," ""Warmog's Armor"""
Which champion can clone themselves with the ability 'Hallucinate'?," ""Shaco"""
What is the main function of the item 'Black Cleaver'?," ""Reduces enemy armor with each hit"""
Which champion has the ability 'Death Lotus'?," ""Katarina"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Blood Well', storing blood to empower their abilities?"," ""Aatrox"""
What is the name of the item that grants bonus magic resist and shields against magic damage?," ""Banshee's Veil"""
Which champion can shield and heal allies with the ability 'Aria of Perseverance'?," ""Sona"""
What is the main function of the item 'Ravenous Hydra'?," ""Provides lifesteal and area-of-effect damage"""
Which champion has the ability 'Unstoppable Force'?," ""Malphite"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Concussive Blows', stunning enemies after a few hits?"," ""Braum"""
What is the name of the item that grants bonus attack damage and lethality?," ""Duskblade of Draktharr"""
Which champion can summon spirits to fight alongside them with the ability 'Eulogy of the Isles'?," ""Yorick"""
What is the main function of the item 'Maw of Malmortius'?," ""Provides a shield against magic damage when low on health"""
Which champion has the ability 'Slicing Maelstrom'?," ""Kennen"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Seething Hatred', gaining attack speed with each hit?"," ""Kalista"""
What is the name of the item that grants bonus health and attack damage?," ""Sterak's Gage"""
Which champion can stealth and gain bonus movement speed with the ability 'Quickdraw'?," ""Graves"""
What is the main function of the item 'Guardian Angel'?," ""Revives the champion upon death"""
Which champion has the ability 'Grand Challenge'?," ""Fiora"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Echoing Flames', dealing bonus magic damage after a few hits?"," ""Ornn"""
What is the name of the item that grants bonus attack damage and critical strike chance?," ""Infinity Edge"""
Which champion can trap enemies with the ability 'Event Horizon'?," ""Veigar"""
What is the main function of the item 'Thornmail'?," ""Reflects damage back to attackers"""
Which champion has the ability 'Explosive Cask'?," ""Gragas"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Adrenaline Rush', regenerating health over time?"," ""Dr. Mundo"""
What is the name of the item that grants bonus attack speed and on-hit magic damage?," ""Nashor's Tooth"""
Which champion can silence and deal damage with the ability 'Null Sphere'?," ""Kassadin"""
What is the main function of the item 'Dead Man's Plate'?," ""Grants bonus movement speed and a slowing attack"""
Which champion has the ability 'Featherstorm'?," ""Xayah"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Pyromania', stunning enemies after a few spells?"," ""Annie"""
What is the name of the item that grants bonus ability power and cooldown reduction?," ""Luden's Tempest"""
Which champion can root and deal damage with the ability 'Light Binding'?," ""Lux"""
What is the main function of the item 'Abyssal Mask'?," ""Increases magic damage taken by nearby enemies"""
Which champion has the ability 'Mimic'?," ""LeBlanc"""
What is the cooldown of the summoner spell 'Ignite'?," ""180 seconds"""
"Which champion's passive ability is 'Gathering Fire', reducing the cooldown of their ultimate?"," ""Lux"""
What is the name of the item that grants bonus magic resist and a shield against magic damage?," ""Mercurial Scimitar"""
Which champion can dive to enemies and deal area damage with the ability 'Grand Starfall'?," ""Pantheon"""
What is the main function of the item 'Hextech Gunblade'?," ""Provides lifesteal and spell vamp"""
Which champion has the ability 'Piercing Light'?," ""Lucian"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Voracity', resetting abilities on kills?"," ""Katarina"""
What is the name of the item that grants bonus attack damage and armor?," ""Death's Dance"""
Which champion can summon a wall with the ability 'Wall of Pain'?," ""Karthus"""
What is the main function of the item 'Randuin's Omen'?," ""Reduces the attack speed of nearby enemies"""
Which champion has the ability 'Shadow Assault'?," ""Talon"""
What is the cooldown of the summoner spell 'Clarity' in ARAM?," ""240 seconds"""
"Which champion's passive ability is 'Monsoon', healing allies over time?"," ""Janna"""
What is the name of the item that grants bonus health and slows enemies on hit?," ""Rylai's Crystal Scepter"""
Which champion can taunt enemies with the ability 'Decisive Strike'?," ""Garen"""
What is the main function of the item 'Locket of the Iron Solari'?," ""Grants a shield to nearby allies"""
Which champion has the ability 'Endless Rage'?," ""Tryndamere"""
What is the cooldown of the summoner spell 'Clairvoyance'?," ""No longer available"""
"Which champion's passive ability is 'Hemorrhage', dealing damage over time?"," ""Darius"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Bloodthirster"""
Which champion can deal area damage and knock enemies back with the ability 'Explosive Charge'?," ""Tristana"""
What is the main function of the item 'Rabadon's Deathcap'?," ""Provides a large bonus to ability power"""
Which champion has the ability 'Glacial Storm'?," ""Anivia"""
What is the cooldown of the summoner spell 'Teleport' after using it on a tower?," ""240 seconds"""
"Which champion's passive ability is 'Icathian Surprise', exploding on death?"," ""Kog'Maw"""
What is the name of the item that grants bonus attack damage and movement speed after a kill?," ""Youmuu's Ghostblade"""
Which champion can dash to enemies and deal damage with the ability 'Dragon's Rage'?," ""Lee Sin"""
What is the main function of the item 'Spirit Visage'?," ""Increases healing received"""
Which champion has the ability 'Burnout'?," ""Shyvana"""
What is the cooldown of the summoner spell 'Teleport' in the early game?," ""360 seconds"""
"Which champion's passive ability is 'Echoing Flames', dealing bonus damage to nearby enemies?"," ""Ornn"""
What is the name of the item that grants bonus health and slows enemies on hit?," ""Frozen Mallet"""
Which champion can shield themselves and gain bonus movement speed with the ability 'Safeguard'?," ""Lee Sin"""
What is the main function of the item 'Gargoyle Stoneplate'?," ""Grants bonus resistances when near multiple enemies"""
Which champion has the ability 'Collateral Damage'?," ""Graves"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Gift of the Drowned Ones', reviving them upon death?"," ""Pyke"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Blade of the Ruined King"""
Which champion can trap enemies with the ability 'Event Horizon'?," ""Veigar"""
What is the main function of the item 'Luden's Echo'?," ""Deals bonus magic damage on the next ability hit"""
Which champion has the ability 'Slicing Maelstrom'?," ""Kennen"""
What is the name of Yasuo's ultimate ability?," ""Last Breath"""
Which champion is known as 'The Eternal Hunters'?," ""Kindred"""
What is the effect of the 'Mountain Drake' buff?," ""Increases bonus armor and magic resist"""
Which champion can create a shield and heal themselves with the ability 'Primal Howl'?," ""Warwick"""
What is the name of the item that grants bonus movement speed and attack damage?," ""Trinity Force"""
"Which champion's passive ability is 'Frost Shot', slowing enemies with basic attacks?"," ""Ashe"""
What is the main function of the item 'Sunfire Aegis'?," ""Deals area-of-effect damage to nearby enemies"""
Which champion can deal true damage with the ability 'Rend'?," ""Kalista"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
Which champion has the ability 'Devour'?," ""Tahm Kench"""
What is the effect of the 'Ocean Drake' buff?," ""Restores a percentage of missing health every 5 seconds"""
Which champion's ultimate ability is 'Crowstorm'?," ""Fiddlesticks"""
What is the name of the item that grants bonus ability power and cooldown reduction?," ""Morellonomicon"""
Which champion can detonate barrels with the ability 'Powder Keg'?," ""Gangplank"""
What is the main function of the item 'Lich Bane'?," ""Enhances basic attacks after using an ability"""
Which champion has the ability 'Void Rush'?," ""Rek'Sai"""
What is the cooldown of the summoner spell 'Ignite'?," ""180 seconds"""
"Which champion's passive ability is 'Soul-Eater', gaining life steal from abilities?"," ""Aatrox"""
What is the name of the item that grants bonus health and attack speed?," ""Titanic Hydra"""
Which champion can stun enemies with the ability 'Concussive Blows'?," ""Braum"""
Which champion has the ability 'Mega Adhesive'?," ""Singed"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Timewinder', reducing cooldowns over time?"," ""Ekko"""
What is the name of the item that grants bonus magic resist and reduces crowd control duration?," ""Mercurial Scimitar"""
Which champion can deal damage and silence enemies with the ability 'Nevermove'?," ""Swain"""
What is the main function of the item 'Dead Man's Plate'?," ""Grants bonus movement speed and a slowing attack"""
Which champion has the ability 'Summon Tibbers'?," ""Annie"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Plasma Fission', slowing enemies hit by spells?"," ""Vel'Koz"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Bloodthirster"""
Which champion can deal area-of-effect damage with the ability 'Soul Shackles'?," ""Morgana"""
What is the main function of the item 'Locket of the Iron Solari'?," ""Provides a shield to nearby allies"""
Which champion has the ability 'Dragon's Descent'?," ""Shyvana"""
What is the cooldown of the summoner spell 'Clairvoyance'?," ""No longer available"""
"Which champion's passive ability is 'Icathian Surprise', exploding upon death?"," ""Kog'Maw"""
What is the name of the item that grants bonus health and slows enemies on hit?," ""Rylai's Crystal Scepter"""
Which champion can gain bonus armor and magic resist with the ability 'Ragnarok'?," ""Olaf"""
What is the main function of the item 'Spirit Visage'?," ""Increases healing and regeneration"""
Which champion has the ability 'Monsoon'?," ""Janna"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Voracity', resetting abilities after a kill?"," ""Katarina"""
What is the name of the item that grants bonus attack damage and lethality?," ""Duskblade of Draktharr"""
Which champion can dash to enemies with the ability 'Relentless Pursuit'?," ""Lucian"""
What is the main function of the item 'Hextech Protobelt-01'?," ""Provides a dash that fires missiles"""
Which champion has the ability 'Explosive Charge'?," ""Tristana"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Gift of the Drowned Ones', reviving upon death?"," ""Pyke"""
What is the name of the item that grants bonus armor and reflects damage back?," ""Thornmail"""
Which champion can deal damage over time with the ability 'Poison Trail'?," ""Singed"""
What is the main function of the item 'Warmog's Armor'?," ""Provides massive health regeneration"""
Which champion has the ability 'Collateral Damage'?," ""Graves"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Hemorrhage', dealing damage over time?"," ""Darius"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Void Staff"""
Which champion can trap enemies with the ability 'Event Horizon'?," ""Veigar"""
What is the main function of the item 'Seraph's Embrace'?," ""Provides a shield based on mana"""
Which champion has the ability 'The Equalizer'?," ""Rumble"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Second Skin', enhancing basic attacks?"," ""Kai'Sa"""
What is the name of the item that grants bonus health and reduces healing received?," ""Executioner's Calling"""
Which champion can shield themselves and gain bonus magic resist with the ability 'Black Shield'?," ""Morgana"""
What is the main function of the item 'Sunfire Aegis'?," ""Deals area-of-effect burn damage to nearby enemies"""
Which champion has the ability 'Flame Chompers!'?," ""Jinx"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Curtain Call', dealing damage and slowing enemies?"," ""Jhin"""
What is the name of the item that grants bonus magic resist and cooldown reduction?," ""Athene's Unholy Grail"""
Which champion can dash through terrain with the ability 'Arcane Shift'?," ""Ezreal"""
What is the main function of the item 'Frozen Heart'?," ""Reduces the attack speed of nearby enemies"""
Which champion has the ability 'Final Spark'?," ""Lux"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Adaptive Defenses', granting a shield when attacked?"," ""Camille"""
What is the name of the item that grants bonus health and attack speed?," ""Titanic Hydra"""
Which champion can dive into the ground and attack with the ability 'Void Rush'?," ""Rek'Sai"""
What is the main function of the item 'Gargoyle Stoneplate'?," ""Increases resistances when surrounded by enemies"""
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Electrifying', dealing bonus magic damage on hit?"," ""Kennen"""
What is the name of the item that grants bonus attack speed and on-hit magic damage?," ""Wit's End"""
Which champion can knock back enemies with the ability 'Dragon's Rage'?," ""Lee Sin"""
What is the main function of the item 'Randuin's Omen'?," ""Reduces the attack speed of nearby enemies"""
Which champion has the ability 'Mimic'?," ""LeBlanc"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Adrenaline Rush', regenerating health over time?"," ""Dr. Mundo"""
What is the name of the item that grants bonus ability power and cooldown reduction?," ""Luden's Echo"""
Which champion can root enemies with the ability 'Twisted Advance'?," ""Maokai"""
What is the main function of the item 'Knight's Vow'?," ""Redirects damage to the wearer from an ally"""
Which champion has the ability 'Hecatomb'?," ""Mordekaiser"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
"Which champion's passive ability is 'Seething Hatred', gaining attack speed over time?"," ""Kalista"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Bloodthirster"""
Which champion can deal damage and silence enemies with the ability 'Null Sphere'?," ""Kassadin"""
What is the main function of the item 'Rabadon's Deathcap'?," ""Increases ability power significantly"""
Which champion has the ability 'Cataclysm'?," ""Jarvan IV"""
What is the name of Thresh's ultimate ability?," ""The Box"""
Which champion is known as 'The Darkin Blade'?," ""Aatrox"""
What is the effect of the 'Cloud Drake' buff?," ""Increases ultimate ability cooldown reduction"""
Which champion can reduce healing with the ability 'Ignite'?," ""No champion; Ignite is a summoner spell"""
What is the name of the item that grants bonus magic resist and healing on ability hit?," ""Spirit Visage"""
"Which champion's passive ability is 'Surging Tides', granting bonus movement speed to allies?"," ""Nami"""
Which champion can summon a clone with the ability 'Hallucinate'?," ""Shaco"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
Which champion has the ability 'Blade of the Exile'?," ""Riven"""
What is the effect of the 'Infernal Soul'?," ""Deals area-of-effect damage on every few hits or abilities"""
Which champion's ultimate ability is 'Buster Shot'?," ""Tristana"""
What is the name of the item that grants bonus attack damage and lifesteal on physical damage?," ""Ravenous Hydra"""
Which champion can jump to enemies with the ability 'Leap'?," ""Kha'Zix"""
What is the main function of the item 'Liandry's Anguish'?," ""Deals damage over time based on enemy's max health"""
Which champion has the ability 'Whirling Death'?," ""Draven"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Mark of the Storm', stunning enemies after a few hits?"," ""Kennen"""
What is the name of the item that grants bonus attack speed and magic resist?," ""Wit's End"""
Which champion can shield themselves and block spells with the ability 'Spell Shield'?," ""Sivir"""
What is the main function of the item 'Zeke's Convergence'?," ""Increases ally's damage to enemies around you"""
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Shepherd of Souls', summoning ghouls?"," ""Yorick"""
What is the name of the item that grants bonus attack damage and crit chance?," ""Infinity Edge"""
Which champion can dash through walls with the ability 'Parkour'?," ""Talon"""
What is the main function of the item 'Warmog's Armor'?," ""Grants massive health regeneration out of combat"""
Which champion has the ability 'Bullet Time'?," ""Miss Fortune"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Duelist's Dance', revealing weak points on enemies?"," ""Fiora"""
What is the name of the item that grants bonus health and slows enemies on hit?," ""Frozen Mallet"""
Which champion can charm enemies with the ability 'Orb of Deception'?," ""Ahri"""
What is the main function of the item 'Redemption'?," ""Heals allies in an area"""
Which champion has the ability 'Insect Swarm'?," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Nimble Fighter', reducing damage from basic attacks?"," ""Fizz"""
What is the name of the item that grants bonus ability power and mana regeneration?," ""Archangel's Staff"""
Which champion can polymorph enemies with the ability 'Whimsy'?," ""Lulu"""
What is the main function of the item 'Locket of the Iron Solari'?," ""Provides a shield to nearby allies"""
Which champion has the ability 'Realm Warp'?," ""Ryze"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Dragonborn', reducing damage from dragons?"," ""Shyvana"""
What is the name of the item that grants bonus attack damage and armor?," ""Death's Dance"""
Which champion can knock up enemies with the ability 'Wild Growth'?," ""Lulu"""
What is the main function of the item 'Guardian Angel'?," ""Revives the wearer upon death"""
Which champion has the ability 'Righteous Fury'?," ""Kayle"""
What is the cooldown of the summoner spell 'Ignite'?," ""180 seconds"""
"Which champion's passive ability is 'Steel Tempest', extending the range of abilities?"," ""Yasuo"""
What is the name of the item that grants bonus health and attack speed?," ""Titanic Hydra"""
Which champion can stealth and attack with the ability 'Ambush'?," ""Twitch"""
What is the main function of the item 'Morellonomicon'?," ""Reduces healing on enemies and provides ability power"""
Which champion has the ability 'Reckoning'?," ""Kayle"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Unseen Threat', dealing bonus magic damage on hit?"," ""Kha'Zix"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Void Staff"""
Which champion can deal area damage with the ability 'Ground Slam'?," ""Malphite"""
What is the main function of the item 'Rylai's Crystal Scepter'?," ""Slows enemies on ability hit"""
Which champion has the ability 'Hemoplague'?," ""Vladimir"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Warlord's Bloodlust', granting lifesteal on crits?"," ""No longer available"""
What is the name of the item that grants bonus armor and magic resist?," ""Gargoyle Stoneplate"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Thornmail'?," ""Reflects damage back to attackers"""
Which champion has the ability 'Vengeful Maelstrom'?," ""Maokai"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'The Relentless Storm', gaining bonus attack speed?"," ""Volibear"""
What is the name of the item that grants bonus health and cooldown reduction?," ""Warmog's Armor"""
"Which champion can silence enemies with the ability 'Q', 'Feral Scream'?"," ""Cho'Gath"""
What is the main function of the item 'Randuin's Omen'?," ""Reduces attack speed and critical damage of enemies"""
Which champion has the ability 'Blade Waltz'?," ""Fiora"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Seismic Shard', slowing enemies hit by abilities?"," ""Malphite"""
What is the name of the item that grants bonus attack damage and critical strike?," ""Infinity Edge"""
Which champion can pull enemies with the ability 'Death Sentence'?," ""Thresh"""
What is the main function of the item 'Nashor's Tooth'?," ""Increases attack speed and ability power"""
Which champion has the ability 'The Culling'?," ""Lucian"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Surge', granting bonus movement speed?"," ""Illaoi"""
What is the name of the item that grants bonus armor and health?," ""Sunfire Aegis"""
Which champion can reset auto-attacks with the ability 'Lunge'?," ""Fiora"""
What is the main function of the item 'Sterak's Gage'?," ""Grants a shield when taking a large amount of damage"""
Which champion has the ability 'Frost Shot'?," ""Ashe"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
"Which champion's passive ability is 'Permafrost', stunning enemies after applying slow?"," ""Sejuani"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Liandry's Anguish"""
Which champion can heal and grant armor with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Abyssal Mask'?," ""Increases magic damage taken by nearby enemies"""
Which champion has the ability 'Cannon Barrage'?," ""Gangplank"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Icathian Surprise', dealing damage upon death?"," ""Kog'Maw"""
What is the name of Thresh's ultimate ability?," ""The Box"""
Which champion is known as 'The Darkin Blade'?," ""Aatrox"""
What is the effect of the 'Cloud Drake' buff?," ""Increases ultimate ability cooldown reduction"""
Which champion can reduce healing with the ability 'Ignite'?," ""No champion; Ignite is a summoner spell"""
What is the name of the item that grants bonus magic resist and healing on ability hit?," ""Spirit Visage"""
"Which champion's passive ability is 'Surging Tides', granting bonus movement speed to allies?"," ""Nami"""
Which champion can summon a clone with the ability 'Hallucinate'?," ""Shaco"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
Which champion has the ability 'Blade of the Exile'?," ""Riven"""
What is the effect of the 'Infernal Soul'?," ""Deals area-of-effect damage on every few hits or abilities"""
Which champion's ultimate ability is 'Buster Shot'?," ""Tristana"""
What is the name of the item that grants bonus attack damage and lifesteal on physical damage?," ""Ravenous Hydra"""
Which champion can jump to enemies with the ability 'Leap'?," ""Kha'Zix"""
What is the main function of the item 'Liandry's Anguish'?," ""Deals damage over time based on enemy's max health"""
Which champion has the ability 'Whirling Death'?," ""Draven"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Mark of the Storm', stunning enemies after a few hits?"," ""Kennen"""
What is the name of the item that grants bonus attack speed and magic resist?," ""Wit's End"""
Which champion can shield themselves and block spells with the ability 'Spell Shield'?," ""Sivir"""
What is the main function of the item 'Zeke's Convergence'?," ""Increases ally's damage to enemies around you"""
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Shepherd of Souls', summoning ghouls?"," ""Yorick"""
What is the name of the item that grants bonus attack damage and crit chance?," ""Infinity Edge"""
Which champion can dash through walls with the ability 'Parkour'?," ""Talon"""
What is the main function of the item 'Warmog's Armor'?," ""Grants massive health regeneration out of combat"""
Which champion has the ability 'Bullet Time'?," ""Miss Fortune"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Duelist's Dance', revealing weak points on enemies?"," ""Fiora"""
What is the name of the item that grants bonus health and slows enemies on hit?," ""Frozen Mallet"""
Which champion can charm enemies with the ability 'Orb of Deception'?," ""Ahri"""
What is the main function of the item 'Redemption'?," ""Heals allies in an area"""
Which champion has the ability 'Insect Swarm'?," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Nimble Fighter', reducing damage from basic attacks?"," ""Fizz"""
What is the name of the item that grants bonus ability power and mana regeneration?," ""Archangel's Staff"""
Which champion can polymorph enemies with the ability 'Whimsy'?," ""Lulu"""
What is the main function of the item 'Locket of the Iron Solari'?," ""Provides a shield to nearby allies"""
Which champion has the ability 'Realm Warp'?," ""Ryze"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Dragonborn', reducing damage from dragons?"," ""Shyvana"""
What is the name of the item that grants bonus attack damage and armor?," ""Death's Dance"""
Which champion can knock up enemies with the ability 'Wild Growth'?," ""Lulu"""
What is the main function of the item 'Guardian Angel'?," ""Revives the wearer upon death"""
Which champion has the ability 'Righteous Fury'?," ""Kayle"""
What is the cooldown of the summoner spell 'Ignite'?," ""180 seconds"""
"Which champion's passive ability is 'Steel Tempest', extending the range of abilities?"," ""Yasuo"""
What is the name of the item that grants bonus health and attack speed?," ""Titanic Hydra"""
Which champion can stealth and attack with the ability 'Ambush'?," ""Twitch"""
What is the main function of the item 'Morellonomicon'?," ""Reduces healing on enemies and provides ability power"""
Which champion has the ability 'Reckoning'?," ""Kayle"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Unseen Threat', dealing bonus magic damage on hit?"," ""Kha'Zix"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Void Staff"""
Which champion can deal area damage with the ability 'Ground Slam'?," ""Malphite"""
What is the main function of the item 'Rylai's Crystal Scepter'?," ""Slows enemies on ability hit"""
Which champion has the ability 'Hemoplague'?," ""Vladimir"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Warlord's Bloodlust', granting lifesteal on crits?"," ""No longer available"""
What is the name of the item that grants bonus armor and magic resist?," ""Gargoyle Stoneplate"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Thornmail'?," ""Reflects damage back to attackers"""
Which champion has the ability 'Vengeful Maelstrom'?," ""Maokai"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'The Relentless Storm', gaining bonus attack speed?"," ""Volibear"""
What is the name of the item that grants bonus health and cooldown reduction?," ""Warmog's Armor"""
"Which champion can silence enemies with the ability 'Q', 'Feral Scream'?"," ""Cho'Gath"""
What is the main function of the item 'Randuin's Omen'?," ""Reduces attack speed and critical damage of enemies"""
Which champion has the ability 'Blade Waltz'?," ""Fiora"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Seismic Shard', slowing enemies hit by abilities?"," ""Malphite"""
What is the name of the item that grants bonus attack damage and critical strike?," ""Infinity Edge"""
Which champion can pull enemies with the ability 'Death Sentence'?," ""Thresh"""
What is the main function of the item 'Nashor's Tooth'?," ""Increases attack speed and ability power"""
Which champion has the ability 'The Culling'?," ""Lucian"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Surge', granting bonus movement speed?"," ""Illaoi"""
What is the name of the item that grants bonus armor and health?," ""Sunfire Aegis"""
Which champion can reset auto-attacks with the ability 'Lunge'?," ""Fiora"""
What is the main function of the item 'Sterak's Gage'?," ""Grants a shield when taking a large amount of damage"""
Which champion has the ability 'Frost Shot'?," ""Ashe"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
"Which champion's passive ability is 'Permafrost', stunning enemies after applying slow?"," ""Sejuani"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Liandry's Anguish"""
Which champion can heal and grant armor with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Abyssal Mask'?," ""Increases magic damage taken by nearby enemies"""
Which champion has the ability 'Cannon Barrage'?," ""Gangplank"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Icathian Surprise', dealing damage upon death?"," ""Kog'Maw"""
What is the name of Yasuo's ultimate ability?," ""Last Breath"""
Which champion is known as 'The Frost Archer'?," ""Ashe"""
What does the 'Ocean Drake' buff provide?," ""Restores a percentage of missing health and mana every 5 seconds"""
Which champion can place a shield on an ally with the ability 'Black Shield'?," ""Morgana"""
What is the name of the item that grants bonus movement speed and health?," ""Dead Man's Plate"""
"Which champion's passive ability is 'Reign of Anger', enhancing their abilities?"," ""Renekton"""
What is the main function of the item 'Luden's Echo'?," ""Deals bonus magic damage on ability hit"""
Which champion can create a wall with the ability 'Tectonic Disruption'?," ""Taliyah"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
Which champion has the ability 'True Shot Barrage'?," ""Ezreal"""
What is the effect of the 'Mountain Soul'?," ""Grants a shield after not taking damage for a few seconds"""
Which champion's ultimate ability is 'Mega Inferno Bomb'?," ""Ziggs"""
What is the name of the item that grants bonus ability power and cooldown reduction?," ""Lich Bane"""
Which champion can stealth with the ability 'Shadow Assault'?," ""Talon"""
What is the main function of the item 'Hextech Rocketbelt'?," ""Provides a dash and bonus magic damage"""
Which champion has the ability 'Riptide'?," ""Nautilus"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Aftershock', dealing bonus damage after crowd control?"," ""Leona"""
What is the name of the item that grants bonus attack damage and health?," ""Sterak's Gage"""
Which champion can taunt enemies with the ability 'Decisive Strike'?," ""Garen"""
Which champion has the ability 'Curtain Call'?," ""Jhin"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Second Skin', enhancing on-hit effects?"," ""Kai'Sa"""
What is the name of the item that grants bonus mana and ability power?," ""Tear of the Goddess"""
